"","date","total_stake","unbonded_amount"
"502",2021-11-01,640324291.381131,1202760.56683578
"503",2021-11-02,639108590.859009,3008058.36525933
"504",2021-11-03,637683697.032363,472077.731028504
"505",2021-11-04,637367966.510352,1582626.85558423
"506",2021-11-05,632809391.963755,690277.84269569
"507",2021-11-06,632796137.40625,3590702.37106804
"508",2021-11-07,630821733.498249,1863404.88561592
"509",2021-11-08,630977455.991042,1736407.11760743
"510",2021-11-09,625096693.009507,5407885.18083896
"511",2021-11-10,624524039.034103,3137593.4774873
"512",2021-11-11,621942210.238652,180040.094470891
"513",2021-11-12,621378889.374444,3028845.61341522
"514",2021-11-13,619167977.806207,14842569.1015156
"515",2021-11-14,605837799.968656,472662.346272236
"516",2021-11-15,604928090.194444,1670535.71011452
"517",2021-11-16,603387567.496089,125088.422504454
"518",2021-11-17,603779581.743169,440025.628628151
"519",2021-11-18,604639672.28544,67304.5233560091
"520",2021-11-19,608434074.754495,1259616.31833733
"521",2021-11-20,607556756.766376,64643.8906647907
"522",2021-11-21,607852762.286611,76743.0377313972
"523",2021-11-22,607835008.953272,333469.02029394
"524",2021-11-23,609181780.029432,555048.399049778
"525",2021-11-24,608849597.788269,1912275.287463
"526",2021-11-25,607733907.80633,321900.02238548
"527",2021-11-26,607265029.600646,1344565.86845769
"528",2021-11-27,607317481.155634,75894.5815242624
"529",2021-11-28,606584834.718668,246784.454584059
"530",2021-11-29,606194446.261249,1184663.41609178
"531",2021-11-30,606780175.288958,145536.275519366
"532",2021-12-01,605200774.927588,1267009.48584795
"533",2021-12-02,606141771.150209,1329668.20346836
"534",2021-12-03,605102741.14018,92022.034939271
"535",2021-12-04,604747267.451997,674924.742134808
"536",2021-12-05,605046298.345496,1347690.12224107
"537",2021-12-06,605493995.627305,1838840.78457187
"538",2021-12-07,610071885.034021,68047.132037347
"539",2021-12-08,609897833.03216,78522.9083866976
"540",2021-12-09,615217045.315829,38651.3412743853
"541",2021-12-10,616715054.085624,3018144.12899333
"542",2021-12-11,618184578.652235,81822.8766148585
"543",2021-12-12,618317682.830868,28835.6540191692
"544",2021-12-13,618853274.843493,39676.0017158548
"545",2021-12-14,618816250.801958,1959223.60226674
"546",2021-12-15,617087003.29419,648161.974079435
"547",2021-12-16,617478401.475236,175045.890802134
"548",2021-12-17,615271480.510418,1871701.75722566
"549",2021-12-18,615704569.089714,930980.731374683
"550",2021-12-19,615982945.506251,29496.452728756
"551",2021-12-20,614967128.96202,1281384.25086747
"552",2021-12-21,618675038.706411,85934.6624534664
"553",2021-12-22,618928421.457258,349095.877998966
"554",2021-12-23,619159737.798386,71847.5752525474
"555",2021-12-24,618379200.143545,187016.955430992
"556",2021-12-25,619413879.445769,75451.0607539723
"557",2021-12-26,619994178.250301,23702.6033486245
"558",2021-12-27,619641086.232844,3820657.70940569
"559",2021-12-28,616239960.778331,113184.808247666
"560",2021-12-29,617253183.035845,164944.166292543
"561",2021-12-30,617552550.254809,114208.784197698
"562",2021-12-31,618653212.802301,136163.933240003
"563",2022-01-01,619915761.554625,51041.3706121869
"564",2022-01-02,620506003.659626,1275352.87537692
"565",2022-01-03,617939125.428825,150708.281617636
"566",2022-01-04,618576681.455694,57142.8895000702
"567",2022-01-05,615587014.096642,3335820.66013152
"568",2022-01-06,616087261.65711,203546.247447147
"569",2022-01-07,613243365.414515,3271183.48319993
"570",2022-01-08,613394439.45697,52813.639387147
"571",2022-01-09,614124133.127021,37426.5140286477
"572",2022-01-10,615474592.012965,212993.384817388
"573",2022-01-11,615645341.100229,195799.294973004
"574",2022-01-12,616720430.928947,567238.841682514
"575",2022-01-13,617080494.409074,342388.851983302
"576",2022-01-14,617368263.638428,131407.794795141
"577",2022-01-15,618157688.551688,123483.030115975
"578",2022-01-16,617940122.834235,32635.5598856895
"579",2022-01-17,619019893.596462,68219.564505838
"580",2022-01-18,616760287.888864,2557080.33247956
"581",2022-01-19,617257372.150517,2738740.8182969
"582",2022-01-20,615845189.641904,46363.2367313478
